evidence_tier,evidence_label,sample_index,raw_row_id,host,dopant,defecttype,common_pair_fold_stratum,host_oof_fold,impurity_oof_fold,host_identity_novelty,impurity_identity_novelty,host_identity_novelty_robust_z,impurity_identity_novelty_robust_z,novelty_gap,host_minus_impurity_absolute_error_eV
canonical,CANONICAL — REPAIRED G2 OOF,8003,13456,ZrS2,Rh,adsorbate,3,0,3,1.852521196202753,0.7459047237303301,-0.02286226411405961,-0.319148714893628,0.2962864507795684,-0.2831943829854331
canonical,CANONICAL — REPAIRED G2 OOF,8004,13457,Re4Se8,Cl,interstitial,4,3,1,1.6038662339006777,1.366370081682418,-0.14142394353475385,1.2630445733593785,-1.4044685168941324,-0.453520854314168
canonical,CANONICAL — REPAIRED G2 OOF,8005,13458,SnSe2,P,adsorbate,1,0,2,2.419180997928411,1.3282005769064322,0.24732795099684507,1.1657119285976556,-0.9183839776008105,-0.19284506638844778
canonical,CANONICAL — REPAIRED G2 OOF,8006,13459,ZrS2,Ru,interstitial,4,0,1,1.852521196202753,0.5893441888992103,-0.02286226411405961,-0.7183797505032371,0.6955174863891775,-0.03825282273326236
canonical,CANONICAL — REPAIRED G2 OOF,8007,13460,TiS2,Fe,interstitial,3,1,4,1.8205313608422036,0.8058456545866038,-0.03811540271875255,-0.16629870114675707,0.12818329842800452,0.15733118328650042
canonical,CANONICAL — REPAIRED G2 OOF,8008,13462,TiS2,Cd,adsorbate,4,1,2,1.8205313608422036,1.0890268525776023,-0.03811540271875255,0.5558163776057969,-0.5939317803245495,0.18469759467912236
canonical,CANONICAL — REPAIRED G2 OOF,8009,13467,TaSe2,Br,interstitial,4,0,0,1.4056901068448444,0.790787977276079,-0.235916706628235,-0.2046959390780192,-0.0312207675502158,-0.24611902236938477
canonical,CANONICAL — REPAIRED G2 OOF,8010,13468,Re4Se8,Hg,adsorbate,3,3,1,1.6038662339006777,0.8778215150733724,-0.14142394353475385,0.01724051166968781,-0.15866445520444167,-0.15359004338582355
canonical,CANONICAL — REPAIRED G2 OOF,8011,13470,TaSe2,Nb,interstitial,0,0,4,1.4056901068448444,0.7021696260983387,-0.235916706628235,-0.43067368086887625,0.19475697424064126,0.30901698579803827
canonical,CANONICAL — REPAIRED G2 OOF,8012,13471,ZrS2,Ge,interstitial,4,0,0,1.852521196202753,0.5102203098939272,-0.02286226411405961,-0.9201464868701189,0.8972842227560593,0.5190877914428711
canonical,CANONICAL — REPAIRED G2 OOF,8013,13472,ZrS2,Mg,adsorbate,0,0,2,1.852521196202753,1.3970522088492745,-0.02286226411405961,1.3412843252658406,-1.3641465893799003,0.039586429197011275
canonical,CANONICAL — REPAIRED G2 OOF,8014,13473,ZrS2,Hf,adsorbate,2,0,0,1.852521196202753,0.4481429350245504,-0.02286226411405961,-1.0784444556638548,1.0555821915497952,0.20085934713826492
canonical,CANONICAL — REPAIRED G2 OOF,8015,13474,TaSe2,Y,adsorbate,1,0,2,1.4056901068448444,1.098536754345055,-0.235916706628235,0.5800667286617716,-0.8159834352900066,-0.4601203913202242
canonical,CANONICAL — REPAIRED G2 OOF,8016,13476,TiS2,Si,adsorbate,4,1,3,1.8205313608422036,0.8542573481034612,-0.03811540271875255,-0.04284836572730877,0.004732963008556218,0.310607275339726
canonical,CANONICAL — REPAIRED G2 OOF,8017,13479,Re4Se8,Li,adsorbate,0,3,4,1.6038662339006777,1.5561918458798707,-0.14142394353475385,1.7470920990243748,-1.8885160425591287,-1.287828143900619
canonical,CANONICAL — REPAIRED G2 OOF,8018,13480,TaSe2,Re,adsorbate,1,0,4,1.4056901068448444,0.6353253867666828,-0.235916706628235,-0.6011272049431249,0.3652104983148899,0.31958860989783044
