rank,host,dopant,defect_type,natoms,predicted_Ef_eV,calibrated_sigma_eV,adversarial_score,extreme,score
39,TaS2,Pb,interstitial,28,0.0404,6.5513,0.5163,N,0.4406
40,Sn2,Nb,interstitial,19,2.2178,6.6466,0.5245,N,0.4399
41,Re4S8,La,interstitial,49,3.5122,5.6081,0.4358,N,0.4349
42,MoTe2,Na,interstitial,28,1.7830,6.6823,0.5275,N,0.4308
43,Ti2CO2,K,interstitial,81,2.3747,7.2513,0.5761,N,0.4305
44,MoSe2,La,interstitial,49,1.9950,7.1476,0.5673,N,0.4297
45,Sn2,La,interstitial,19,4.5680,7.4467,0.5928,N,0.4297
46,Ti2CO2,Ba,interstitial,81,2.4511,7.1584,0.5682,N,0.4258
47,Ti2CO2,Cs,interstitial,81,2.4613,7.1367,0.5663,N,0.4246
48,PtSe2,Bi,interstitial,28,1.7546,6.7687,0.5349,N,0.4209
49,Pd2Se4,Bi,interstitial,25,1.5868,7.2209,0.5735,N,0.4182
50,MoSSe,La,interstitial,49,0.7400,5.1898,0.4001,N,0.4134
51,Sn2,Fe,interstitial,19,3.7087,6.1237,0.4798,N,0.4131
52,Bi2I6,Br,interstitial,33,2.7420,6.2608,0.4915,N,0.4119
53,BiITe,Cu,interstitial,28,4.9850,7.3905,0.5880,N,0.4113
54,TaSe2,Bi,interstitial,28,4.6710,6.5660,0.5176,N,0.4105
55,Sn2,In,interstitial,19,1.5979,6.5967,0.5202,N,0.4006
56,Ti2CO2,Hg,interstitial,81,1.9765,6.0695,0.4752,N,0.3958
57,Bi2I6,Au,interstitial,33,3.5483,6.4059,0.5039,N,0.3936
58,TaSe2,Pb,interstitial,28,4.9316,6.1053,0.4783,N,0.3920
59,TiS2,Pb,interstitial,28,-0.3724,6.1052,0.4782,N,0.3919
60,BiITe,Ta,interstitial,28,6.7692,9.7481,0.7894,Y,0.3915
61,HfS2,La,interstitial,28,0.2280,4.5907,0.3489,N,0.3827
62,BiITe,Os,interstitial,28,5.3146,10.0388,0.8142,Y,0.3806
63,BiITe,F,interstitial,28,5.4998,9.5277,0.7706,Y,0.3802
64,TiO2,Bi,interstitial,49,1.5091,6.2223,0.4882,N,0.3775
65,Bi2I6,Pt,interstitial,33,2.9971,5.5756,0.4330,N,0.3768
66,SnS2,Bi,interstitial,28,0.4024,6.5563,0.5168,N,0.3764
67,Nb4C3,Bi,interstitial,113,4.7430,6.5048,0.5124,N,0.3738
68,BiITe,K,interstitial,28,8.3675,9.8961,0.8020,Y,0.3733
69,SnS2,Ir,interstitial,28,-0.0522,5.6736,0.4414,N,0.3718
70,Ti2CO2,Sb,interstitial,81,4.2204,6.0968,0.4775,N,0.3714
71,BiITe,Ir,interstitial,28,6.1909,10.4948,0.8532,Y,0.3703
72,SnS2,Nb,interstitial,28,0.1735,5.6303,0.4377,N,0.3695
73,Bi2I6,Hg,interstitial,33,2.6966,5.3937,0.4175,N,0.3675
74,Ti2CO2,Cl,interstitial,81,2.0399,4.2826,0.3226,N,0.3624
75,TiS2,La,interstitial,28,-0.9830,5.7981,0.4520,N,0.3606
76,Ti2CO2,La,interstitial,81,2.2265,7.4914,0.5966,N,0.3580
77,Ti2CO2,F,interstitial,81,2.1747,5.3295,0.4120,N,0.3578
78,WTe2,La,interstitial,28,0.6772,6.0443,0.4730,N,0.3578
79,Bi2I6,Mn,interstitial,33,4.9981,5.6892,0.4427,N,0.3568
80,TaSe2,La,interstitial,28,3.6707,5.7195,0.4453,N,0.3565
81,BiITe,Sr,interstitial,28,8.3142,9.5353,0.7712,Y,0.3548
82,BiITe,H,interstitial,28,3.7338,5.6315,0.4378,N,0.3547
83,Pd2Se4,Ti,interstitial,25,-0.2435,4.5207,0.3429,N,0.3541
84,Ti2CO2,Li,interstitial,81,0.9979,5.2012,0.4010,N,0.3513
85,Bi2I6,Fe,interstitial,33,4.8436,6.2201,0.4881,N,0.3504
86,BiITe,As,interstitial,28,10.4629,9.7427,0.7889,Y,0.3500
87,TiO2,Pb,interstitial,49,1.2402,5.5624,0.4319,N,0.3487
88,Bi2I6,Sr,interstitial,33,4.2220,5.5050,0.4270,N,0.3474
89,Bi2I6,B,interstitial,33,4.6737,5.4970,0.4263,N,0.3470
90,NiSe2,Na,interstitial,28,0.9436,4.7273,0.3606,N,0.3460
91,NiSe2,La,interstitial,28,1.5541,5.4994,0.4265,N,0.3453
92,WTe2,Bi,interstitial,28,3.3455,5.5535,0.4311,N,0.3433
93,WTe2,Sc,interstitial,28,0.0793,4.4029,0.3329,N,0.3431
94,Nb4C3,Ge,interstitial,113,4.1701,4.7269,0.3605,N,0.3415
95,Ti2CO2,Au,interstitial,81,2.4213,5.5141,0.4278,N,0.3415
96,Si2,La,interstitial,19,4.7408,5.4165,0.4194,N,0.3410
97,Si2,In,interstitial,19,1.9735,5.1320,0.3951,N,0.3409
98,V2CO2,Bi,interstitial,81,2.1043,5.6857,0.4424,N,0.3395
99,BiITe,Hf,interstitial,28,7.9375,8.7044,0.7002,Y,0.3380
100,BiITe,Pb,interstitial,28,7.9665,10.5219,0.8555,Y,0.3362
101,PtS2,Zn,interstitial,28,0.5386,3.1337,0.2245,N,0.3347
102,Bi2I6,Se,interstitial,33,2.3625,5.2506,0.4053,N,0.3344
103,Bi2I6,S,interstitial,33,2.4253,5.2343,0.4039,N,0.3335
