split,metric,term,definition,repeat_effects,mean,std,ci_low,ci_high,n_paired_repeats
validation,mae,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.015833262588333008, -0.014937360854800297, -0.01827281749354337, -0.020758546901130548, -0.019025862614265143]",-0.017765570090414472,0.002373611548155716,-0.01956832730486695,-0.015934241553399807,5
test,mae,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0028923158329035026, -0.015384668938611679, -0.024972764825910876, 0.0015343378647572625, -0.003366624520871331]",-0.007859480917546624,0.011974177050632343,-0.01775372511031741,0.0010973365748900398,5
test,mae,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0005449295919734976, 0.010735374911782003, 0.007048667373248496, 0.0009118868789124712, 0.0037212387015924664]",0.004374447654712388,0.004588821423592703,0.0008910306550940827,0.008033335797501396,5
test,mae,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.008664186394801654, -0.01952278554505099, -0.005058366380848556, 0.004640180056319387, 0.012971778780327514]",-0.0031266758968108597,0.012477100590954077,-0.012518472594727048,0.006472865915251813,5
test,rmse,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.044482090802140606, -0.015960084376516748, -0.051465248772266214, -0.05868407081182503, -0.04808572820595791]",-0.043735444593741304,0.01638722354236784,-0.05435277758808974,-0.028810341908293215,5
test,rmse,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.026613525623515044, 0.018596646035371034, 0.024197669036469693, 0.014677632132413687, -0.048631372487520474]",-0.0035545901813562207,0.032237051256761816,-0.030782199410141087,0.02005325245521903,5
test,rmse,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.02564715663475281, -0.004945596564420396, -0.042915116189440106, -0.040743375757140377, -0.05270299188197625]",-0.023131984751644862,0.03273426032090168,-0.04639591837999461,0.005816151430079586,5
test,rmse,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.036121892653337984, -0.05604399358687939, -0.028811872269699057, -0.045410448691173055, 0.009348328555086716]",-0.016959218667865362,0.038688722315734496,-0.04634415136516079,0.014460711564785522,5
test,rmse,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.018055712545451907, -0.018771293991930338, -0.03922129495633264, 0.01994769002060881, -0.0074558798007504645]",-0.005489013236590545,0.02509748175072211,-0.024688211539455284,0.013710185066274194,5
test,rmse,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.002644233623103509, 0.03753633889535679, -0.00371515151528079, 0.004315985447464699, 0.03557216246905104]",0.014213020334697646,0.020638118844972075,-0.00168055696586078,0.030106597635256072,5
test,rmse,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.006098682552026169, -0.027046067585903777, -0.002694756256645281, 0.00170056736547608, 0.048364521432053276]",0.0028451164805908258,0.02773756854786396,-0.016426478329776107,0.027940810356573854,5
