evidence_tier,evidence_label,sample_index,raw_row_id,host,host_family,dopant,impurity_series,defecttype,site,natoms,target_eV,target_decile,pair_absolute_error_eV,extension_factor,abs_conv2,nonpathological_eligible,high_error_interstitial_pool_rank,bottom_quartile_adsorbate_pool_rank,xf_gt_2_pathology_rank,top_1pct_abs_conv2_pathology_rank,provenance_missing
canonical,CANONICAL — REPAIRED G2 OOF,9930,16584,ZrSe2,chalcogenide,O,main_group,interstitial,int2,28,-2.2615503050000143,0,0.2727054334790182,1.1645869948065164,0.000731158,1,1815,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9931,16585,W2Te4,chalcogenide,Cs,main_group,adsorbate,ads2,55,-1.0881814249999822,0,0.0872875937469304,0.9939153300266764,0.000207852,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9932,16586,Sn2,elemental_hydrogenated,Ca,main_group,adsorbate,ads1,19,-0.4700240724999978,1,0.04561523261474831,0.9547307538385768,0.00353709,1,,1238,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9933,16587,ZrSe2,chalcogenide,Au,5d,interstitial,int0,28,2.783292122499988,6,0.15475923599486086,1.3193947783387607,0.00198392,1,2280,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9934,16588,W2Te4,chalcogenide,P,main_group,adsorbate,ads1,55,3.3948174800000253,6,0.28567350760317467,1.014649224105418,0.000837124,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9935,16591,ZrSe2,chalcogenide,Cd,4d,interstitial,int0,28,3.3060929799999905,6,0.20906949290892607,1.3283963825524254,0.00810082,1,2054,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9936,16592,ZrSe2,chalcogenide,Fe,3d,adsorbate,ads0,28,3.7665370599999743,7,0.2671467168554944,0.9696022839748536,0.000526936,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9937,16593,W2Te4,chalcogenide,Na,main_group,interstitial,int3,55,4.486010346666693,7,0.5544645449959047,1.1004896766466588,0.0209962,1,1028,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9938,16594,W2Te4,chalcogenide,Xe,main_group,adsorbate,ads2,55,0.050340750000017,1,0.09397731044008048,1.2384311486747996,0.0034621,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9939,16595,W2Se4,chalcogenide,Li,main_group,adsorbate,ads2,97,-0.6631966000000478,0,0.2597275143066884,0.984693211797834,0.00608803,1,,,,,0
