model,regime,split_id,n_seeds,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
dart,pair_cv,pair_cv5_f4,1,0.44604636771588196,1.052127131318727,-0.0630168723726496,0.9592128546709519,0.8896939449842934,0.4439203880770349,0.9323715323368998,-0.0656403258747928,0.9648286322291312,0.9188491498530509
descriptor:mean,chemistry_block,chemistry_block_g6x3d,1,2.013688528995043,2.8553674381434586,-0.1929088429327768,,-0.0045852929001217735,1.7728932913411153,2.823572983202333,-1.5112556889685156,,-0.4014811024173437
descriptor:mean,dopant_cv,dopant_cv5_f0,1,2.3585683280520278,3.1747652726953466,-0.2873772935820735,,-0.008261422045627631,2.3389791476582444,3.3287261086015376,0.23953781324435897,,-0.0052053125489399665
descriptor:mean,dopant_cv,dopant_cv5_f1,1,2.288309558432412,3.246835628927655,0.33580033303710705,,-0.010812150763998218,2.3592214158626366,3.1726288051410894,-0.26272553618781813,,-0.006904853720406612
descriptor:mean,dopant_cv,dopant_cv5_f2,1,2.409402063071582,3.243958933299913,0.7411974934901879,,-0.05508115718847373,2.3674060243856276,3.2828257138304666,0.5897159738215535,,-0.03334537696443296
descriptor:mean,dopant_cv,dopant_cv5_f3,1,2.2136796619908177,3.090268403119398,-0.8664392344708131,,-0.08531803340541133,2.279175428624297,3.180205868109543,0.3739164705896204,,-0.014017945371498364
descriptor:mean,dopant_cv,dopant_cv5_f4,1,2.288970725766651,3.3209059021709657,0.07332713660241304,,-0.0004877846202837599,2.228396558991083,3.1128857301631188,-0.9439362863908938,,-0.10126281103308044
descriptor:mean,host_cv,host_cv5_f0,1,2.3093051169763124,2.932680255230797,0.957247057425652,,-0.11924611695582565,2.158469971361296,2.843068310381031,0.6597892470244812,,-0.05692181497535542
descriptor:mean,host_cv,host_cv5_f1,1,2.456774469421991,3.405852092578371,-0.16432562815524657,,-0.0023333032990284774,2.22351648434169,2.872542977111838,0.753134519779859,,-0.07381443053775194
descriptor:mean,host_cv,host_cv5_f2,1,2.454295131234677,3.4708086789342922,-0.3646106885310115,,-0.011158782181750482,2.4326465221786626,3.430576716068642,-0.4427539275720249,,-0.01693890910985507
descriptor:mean,host_cv,host_cv5_f3,1,2.311253544275033,3.461668860535211,-0.7061776115023186,,-0.04342273162250021,2.451148227526058,3.4783131614515077,-0.4302214750012266,,-0.015536106099438118
descriptor:mean,host_cv,host_cv5_f4,1,2.069612840330715,2.7808659767832915,0.29240385398823193,,-0.011179810896218889,2.3133930526272857,3.4293616899216723,-0.5254113810057812,,-0.02403743942495762
descriptor:mean,id_cv,id_cv5_f0,1,2.250574252513966,3.1376602584246753,0.06505194973864274,,-0.00043002679734627236,2.2596866237723794,3.12871372096688,0.11081053153631966,,-0.001255959214592428
descriptor:mean,id_cv,id_cv5_f1,1,2.3019995915544285,3.1712831885821204,-0.0030952177775597904,,-9.526048438956991e-07,2.2455639268478866,3.1371990141791337,0.036572030757485365,,-0.00013591676739266312
descriptor:mean,id_cv,id_cv5_f2,1,2.3720975065942005,3.3115380744881846,-0.001187704327753747,,-1.2863443066279956e-07,2.300510208417241,3.1713064564578897,-0.012536305716099119,,-1.562678050670563e-05
descriptor:mean,id_cv,id_cv5_f3,1,2.316472546591567,3.258976872591016,-0.12923078836787563,,-0.0015748995635291863,2.3673879784387903,3.311676928008274,-0.030349091567577244,,-8.39908434147052e-05
descriptor:mean,id_cv,id_cv5_f4,1,2.25202118707071,3.127499311770068,0.06842054702492543,,-0.00047883572463569557,2.3198733656911243,3.2580911485172255,-0.10453837871974966,,-0.0010305578977767293
descriptor:mean,id_repeat,id_repeat_s42,1,2.349486231718886,3.384378823926504,-0.21675177905344256,,-0.0041186266654400505,2.268734081944621,3.205986706003451,-0.1999602434797682,,-0.0039053200866809856
descriptor:mean,id_repeat,id_repeat_s43,1,2.211045272312698,3.1327593612514817,-0.11155329365249735,,-0.00126958489352047,2.2683279486630354,3.0931785988372837,-0.06751640017022185,,-0.00047666748516639323
descriptor:mean,id_repeat,id_repeat_s44,1,2.2028711372242773,3.0300531448102266,0.26666643571188475,,-0.007805721288120626,2.3673143941649393,3.2783121415099803,0.011588755770806555,,-1.249621369558973e-05
descriptor:mean,id_repeat,id_repeat_s45,1,2.435360608507364,3.359391682780774,-0.14111390218376543,,-0.0017676053248301127,2.2852822294289283,3.2022859878716354,-0.040468509170504964,,-0.0001597289162429405
descriptor:mean,id_repeat,id_repeat_s46,1,2.243306244592124,3.1152672611334387,-0.08182591913620707,,-0.0006903842725198839,2.293892235646435,3.212348101276879,-0.10679853365123912,,-0.001106536324018581
descriptor:mean,pair_cv,pair_cv5_f0,1,2.2978258300247396,3.1821808975946797,0.058877452171265256,,-0.0003424498549040589,2.2931407997670963,3.1697196614874876,0.10801504385524946,,-0.0011626029051836628
